"Department","DistinguishedName","Enabled","GivenName","mail","Manager","Name","ObjectClass","ObjectGUID","OfficePhone","SamAccountName","SID","sn","Surname","Title","UserPrincipalName","Office"
"Prestataires Externes","CN=Thomas Ziegler,OU=Prestataires Externes,OU=Utilisateurs,DC=contoso,DC=fr","True","Thomas","thomasz@contoso.fr","CN=Maxime Mercier,OU=Gestion de Projet,OU=Utilisateurs,DC=contoso,DC=fr","Thomas Ziegler","user","41e635b7-adc4-4bd4-bfcc-21dfdb116222","01 99 00 69 63","thomasz","S-1-5-21-331390976-2650875657-2422772959-1817","Ziegler","Ziegler","Chef de projet","thomas.ziegler@contoso.fr","Paris"
"Prestataires Externes","CN=Sébastien Berger,OU=Prestataires Externes,OU=Utilisateurs,DC=contoso,DC=fr","True","Sébastien","sebastienb@contoso.fr","CN=Laurent Mallet,OU=Conseil en Stratégie,OU=Utilisateurs,DC=contoso,DC=fr","Sébastien Berger","user","936a0c68-bb88-44fd-8139-4eb75ec77f73","04 65 71 31 55","sebastienb","S-1-5-21-331390976-2650875657-2422772959-1818","Berger","Berger","Consultant en stratégie","sebastien.berger@contoso.fr","Lyon"
"Prestataires Externes","CN=Ludovic Tanguy,OU=Prestataires Externes,OU=Utilisateurs,DC=contoso,DC=fr","True","Ludovic","ludovict@contoso.fr","CN=Maxime Mercier,OU=Gestion de Projet,OU=Utilisateurs,DC=contoso,DC=fr","Ludovic Tanguy","user","8f2ba7bb-e55c-4f06-b8fc-c2f1595b684f","01 99 00 71 39","ludovict","S-1-5-21-331390976-2650875657-2422772959-1819","Tanguy","Tanguy","Chef de projet","ludovic.tanguy@contoso.fr","Paris"
"Prestataires Externes","CN=Mélanie Clerc,OU=Prestataires Externes,OU=Utilisateurs,DC=contoso,DC=fr","True","Mélanie","melaniec@contoso.fr","CN=Maxime Mercier,OU=Gestion de Projet,OU=Utilisateurs,DC=contoso,DC=fr","Mélanie Clerc","user","e9008cec-b2a8-4f45-91b1-6a09ae10cd47","01 99 00 14 13","melaniec","S-1-5-21-331390976-2650875657-2422772959-1820","Clerc","Clerc","Chef de projet","melanie.clerc@contoso.fr","Paris"
"Prestataires Externes","CN=Cédric Girard,OU=Prestataires Externes,OU=Utilisateurs,DC=contoso,DC=fr","True","Cédric","cedricg@contoso.fr","CN=Maxime Mercier,OU=Gestion de Projet,OU=Utilisateurs,DC=contoso,DC=fr","Cédric Girard","user","d7fc5e1b-279d-4263-8e46-50ddf3031fea","01 99 00 45 36","cedricg","S-1-5-21-331390976-2650875657-2422772959-1821","Girard","Girard","Chef de projet","cedric.girard@contoso.fr","Paris"
"Prestataires Externes","CN=Delphine Ziegler,OU=Prestataires Externes,OU=Utilisateurs,DC=contoso,DC=fr","True","Delphine","delphinez@contoso.fr","CN=Maxime Mercier,OU=Gestion de Projet,OU=Utilisateurs,DC=contoso,DC=fr","Delphine Ziegler","user","0a15a779-2a72-43c3-8002-850ab93db8f0","01 99 00 18 33","delphinez","S-1-5-21-331390976-2650875657-2422772959-1822","Ziegler","Ziegler","Chef de projet","delphine.ziegler@contoso.fr","Paris"
"Prestataires Externes","CN=Maxime Tessier,OU=Prestataires Externes,OU=Utilisateurs,DC=contoso,DC=fr","True","Maxime","maximet@contoso.fr","CN=Maxime Mercier,OU=Gestion de Projet,OU=Utilisateurs,DC=contoso,DC=fr","Maxime Tessier","user","1566b672-2488-4b58-ab09-9b62d3a4b9a5","01 99 00 24 64","maximet","S-1-5-21-331390976-2650875657-2422772959-1823","Tessier","Tessier","Chef de projet","maxime.tessier@contoso.fr","Paris"
"Prestataires Externes","CN=Nicolas Delaunay,OU=Prestataires Externes,OU=Utilisateurs,DC=contoso,DC=fr","True","Nicolas","nicolasd@contoso.fr","CN=Maxime Mercier,OU=Gestion de Projet,OU=Utilisateurs,DC=contoso,DC=fr","Nicolas Delaunay","user","f4a59b38-d5fa-4ae5-8afe-b4fde603dad9","01 99 00 87 93","nicolasd","S-1-5-21-331390976-2650875657-2422772959-1824","Delaunay","Delaunay","Chef de projet","nicolas.delaunay@contoso.fr","Paris"
"Comptabilité","CN=Benoît Girard,OU=Comptabilité,OU=Utilisateurs,DC=contoso,DC=fr","True","Benoît","benoitg@contoso.fr","CN=Antoine Lefebvre,OU=Comptabilité,OU=Utilisateurs,DC=contoso,DC=fr","Benoît Girard","user","4641face-6a59-4055-bc0b-29db4b3b1672","01 99 00 25 97","benoitg","S-1-5-21-331390976-2650875657-2422772959-1825","Girard","Girard","Comptable","benoit.girard@contoso.fr","Paris"
"Prestataires Externes","CN=Benoît Huet,OU=Prestataires Externes,OU=Utilisateurs,DC=contoso,DC=fr","True","Benoît","benoith@contoso.fr","CN=Laurent Mallet,OU=Conseil en Stratégie,OU=Utilisateurs,DC=contoso,DC=fr","Benoît Huet","user","c6279aa8-6854-42af-bdee-da4f7cd7696d","04 65 71 84 52","benoith","S-1-5-21-331390976-2650875657-2422772959-1826","Huet","Huet","Consultant en stratégie","benoit.huet@contoso.fr","Lyon"
"Conseil en Stratégie","CN=Guillaume Barbier,OU=Conseil en Stratégie,OU=Utilisateurs,DC=contoso,DC=fr","True","Guillaume","guillaumeb@contoso.fr","CN=Hugo Baron,OU=Conseil en Stratégie,OU=Utilisateurs,DC=contoso,DC=fr","Guillaume Barbier","user","d20f9cd0-3cc4-4f13-8b11-8305abe0bb2b","01 99 00 68 64","guillaumeb","S-1-5-21-331390976-2650875657-2422772959-1827","Barbier","Barbier","Consultant en stratégie","guillaume.barbier@contoso.fr","Paris"
"Conseil Gestion de Contenu","CN=Virginie Cousin,OU=Conseil Gestion de Contenu,OU=Utilisateurs,DC=contoso,DC=fr","True","Virginie","virginiec@contoso.fr","CN=Grégory Chevalier,OU=Conseil Gestion de Contenu,OU=Utilisateurs,DC=contoso,DC=fr","Virginie Cousin","user","980f27ce-66f2-4fb4-8639-12849a484e92","04 65 71 38 89","virginiec","S-1-5-21-331390976-2650875657-2422772959-1828","Cousin","Cousin","Consultant gestion de contenu","virginie.cousin@contoso.fr","Lyon"
"Conseil Gestion de Contenu","CN=Arnaud Galland,OU=Conseil Gestion de Contenu,OU=Utilisateurs,DC=contoso,DC=fr","True","Arnaud","arnaudg@contoso.fr","CN=Grégory Chevalier,OU=Conseil Gestion de Contenu,OU=Utilisateurs,DC=contoso,DC=fr","Arnaud Galland","user","d97650ab-db13-4f64-9126-f88670e1c084","04 65 71 16 59","arnaudg","S-1-5-21-331390976-2650875657-2422772959-1829","Galland","Galland","Consultant gestion de contenu","arnaud.galland@contoso.fr","Lyon"
"Conseil Gestion de Contenu","CN=Clémence Marchand,OU=Conseil Gestion de Contenu,OU=Utilisateurs,DC=contoso,DC=fr","True","Clémence","clemencem@contoso.fr","CN=Grégory Chevalier,OU=Conseil Gestion de Contenu,OU=Utilisateurs,DC=contoso,DC=fr","Clémence Marchand","user","29dcc0c2-e14d-4eb4-8d0c-eeffee01b314","04 65 71 41 57","clemencem","S-1-5-21-331390976-2650875657-2422772959-1830","Marchand","Marchand","Consultant gestion de contenu","clemence.marchand@contoso.fr","Lyon"
"Stratégie CRM","CN=Thomas Mallet,OU=Stratégie CRM,OU=Utilisateurs,DC=contoso,DC=fr","True","Thomas","thomasm@contoso.fr","CN=Olivier Leclerc,OU=Stratégie CRM,OU=Utilisateurs,DC=contoso,DC=fr","Thomas Mallet","user","509cd11b-74bf-4d4d-a19c-1f740e7e4db7","","thomasm","S-1-5-21-331390976-2650875657-2422772959-1831","Mallet","Mallet","Consultant CRM","thomas.mallet@contoso.fr","Paris"
"Conseil en Stratégie","CN=Hugo Ménard,OU=Conseil en Stratégie,OU=Utilisateurs,DC=contoso,DC=fr","True","Hugo","hugom@contoso.fr","CN=Sandrine Pichon,OU=Conseil en Stratégie,OU=Utilisateurs,DC=contoso,DC=fr","Hugo Ménard","user","e58f3e62-e71c-48d7-aa55-7a0606ac5ec9","01 99 00 71 67","hugom","S-1-5-21-331390976-2650875657-2422772959-1832","Ménard","Ménard","Consultant en stratégie","hugo.menard@contoso.fr","Paris"
"Conseil Gestion de Contenu","CN=Sarah Brunet,OU=Conseil Gestion de Contenu,OU=Utilisateurs,DC=contoso,DC=fr","True","Sarah","sarahb@contoso.fr","CN=Grégory Chevalier,OU=Conseil Gestion de Contenu,OU=Utilisateurs,DC=contoso,DC=fr","Sarah Brunet","user","501b0760-1220-41d9-8dd0-f6be960717f8","04 65 71 72 13","sarahb","S-1-5-21-331390976-2650875657-2422772959-1833","Brunet","Brunet","Responsable des processus métier","sarah.brunet@contoso.fr","Lyon"
"Conseil Gestion de Contenu","CN=Laetitia Jacquet,OU=Conseil Gestion de Contenu,OU=Utilisateurs,DC=contoso,DC=fr","True","Laetitia","laetitiaj@contoso.fr","CN=Grégory Chevalier,OU=Conseil Gestion de Contenu,OU=Utilisateurs,DC=contoso,DC=fr","Laetitia Jacquet","user","6b1b2f88-0f3c-429f-8ad7-1535a1dabb3e","04 65 71 64 48","laetitiaj","S-1-5-21-331390976-2650875657-2422772959-1834","Jacquet","Jacquet","Consultant gestion de contenu","laetitia.jacquet@contoso.fr","Lyon"
"Ingénierie et Production","CN=Morgane Huet,OU=Ingénierie et Production,OU=Utilisateurs,DC=contoso,DC=fr","True","Morgane","morganeh@contoso.fr","CN=Océane Baron,OU=Ingénierie et Production,OU=Utilisateurs,DC=contoso,DC=fr","Morgane Huet","user","a6a98baa-cacc-409f-beb4-22c3a807a473","03 53 01 98 21","morganeh","S-1-5-21-331390976-2650875657-2422772959-1835","Huet","Huet","Ingénieur","morgane.huet@contoso.fr","Metz"
"Conseil en Stratégie","CN=Sophie Fournier,OU=Conseil en Stratégie,OU=Utilisateurs,DC=contoso,DC=fr","True","Sophie","sophief@contoso.fr","CN=Océane Hubert,OU=Conseil en Stratégie,OU=Utilisateurs,DC=contoso,DC=fr","Sophie Fournier","user","3193eddf-826d-40cb-97e5-29d899f0be96","03 53 01 22 97","sophief","S-1-5-21-331390976-2650875657-2422772959-1836","Fournier","Fournier","Consultant en stratégie","sophie.fournier@contoso.fr","Metz"
"Direction Commerciale","CN=Delphine Paulin,OU=Direction Commerciale,OU=Utilisateurs,DC=contoso,DC=fr","True","Delphine","delphinep@contoso.fr","CN=Élodie Imbert,OU=Direction Commerciale,OU=Utilisateurs,DC=contoso,DC=fr","Delphine Paulin","user","82919424-4615-4a6c-8922-0719b4e8c3a7","01 99 00 83 32","delphinep","S-1-5-21-331390976-2650875657-2422772959-1837","Paulin","Paulin","Commercial","delphine.paulin@contoso.fr","Paris"
"Conseil en Stratégie","CN=Jérôme Sauvage,OU=Conseil en Stratégie,OU=Utilisateurs,DC=contoso,DC=fr","True","Jérôme","jeromes@contoso.fr","CN=Hugo Baron,OU=Conseil en Stratégie,OU=Utilisateurs,DC=contoso,DC=fr","Jérôme Sauvage","user","334959d2-aa9c-4a16-9de6-a81831dc5fa6","01 99 00 84 54","jeromes","S-1-5-21-331390976-2650875657-2422772959-1838","Sauvage","Sauvage","Consultant en stratégie","jerome.sauvage@contoso.fr","Paris"
"Conseil en Stratégie","CN=Mathieu Maillard,OU=Conseil en Stratégie,OU=Utilisateurs,DC=contoso,DC=fr","True","Mathieu","mathieum@contoso.fr","CN=Élodie Caron,OU=Conseil en Stratégie,OU=Utilisateurs,DC=contoso,DC=fr","Mathieu Maillard","user","230a05a1-554c-4adb-b4e5-77bb32f2e9bf","03 53 01 14 43","mathieum","S-1-5-21-331390976-2650875657-2422772959-1839","Maillard","Maillard","Consultant en stratégie","mathieu.maillard@contoso.fr","Metz"
"Conseil en Stratégie","CN=Damien Bouvier,OU=Conseil en Stratégie,OU=Utilisateurs,DC=contoso,DC=fr","True","Damien","damienb@contoso.fr","CN=Sandrine Pichon,OU=Conseil en Stratégie,OU=Utilisateurs,DC=contoso,DC=fr","Damien Bouvier","user","4a783fb5-dabc-4f4f-8a2f-b1c90b8efe16","01 99 00 47 47","damienb","S-1-5-21-331390976-2650875657-2422772959-1840","Bouvier","Bouvier","Consultant en stratégie","damien.bouvier@contoso.fr","Paris"
"Prestataires Externes","CN=Ludovic Girard,OU=Prestataires Externes,OU=Utilisateurs,DC=contoso,DC=fr","True","Ludovic","ludovicg@contoso.fr","CN=Maxime Mercier,OU=Gestion de Projet,OU=Utilisateurs,DC=contoso,DC=fr","Ludovic Girard","user","dd5cb399-40ae-4fd5-853f-bcf495052b81","01 99 00 41 12","ludovicg","S-1-5-21-331390976-2650875657-2422772959-1841","Girard","Girard","Chef de projet","ludovic.girard@contoso.fr","Paris"
"Conseil en Stratégie","CN=Manon Leroux,OU=Conseil en Stratégie,OU=Utilisateurs,DC=contoso,DC=fr","True","Manon","manonl@contoso.fr","CN=Élodie Caron,OU=Conseil en Stratégie,OU=Utilisateurs,DC=contoso,DC=fr","Manon Leroux","user","ec6c80af-e6f6-4db2-9562-3fc6e2fd7f2e","04 65 71 19 13","manonl","S-1-5-21-331390976-2650875657-2422772959-1842","Leroux","Leroux","Consultant en stratégie","manon.leroux@contoso.fr","Lyon"
"Comptabilité","CN=Amandine Masse,OU=Comptabilité,OU=Utilisateurs,DC=contoso,DC=fr","True","Amandine","amandinem@contoso.fr","CN=Antoine Lefebvre,OU=Comptabilité,OU=Utilisateurs,DC=contoso,DC=fr","Amandine Masse","user","8006fa53-332a-4169-85b3-4ad056f4cc12","01 99 00 77 77","amandinem","S-1-5-21-331390976-2650875657-2422772959-1843","Masse","Masse","Responsable comptable","amandine.masse@contoso.fr","Paris"
"Comptabilité","CN=Maxime Fontaine,OU=Comptabilité,OU=Utilisateurs,DC=contoso,DC=fr","True","Maxime","maximef@contoso.fr","CN=Antoine Lefebvre,OU=Comptabilité,OU=Utilisateurs,DC=contoso,DC=fr","Maxime Fontaine","user","5a9e505a-a18f-4bf7-954e-255cd1ceafec","01 99 00 95 59","maximef","S-1-5-21-331390976-2650875657-2422772959-1844","Fontaine","Fontaine","Comptable","maxime.fontaine@contoso.fr","Paris"
"Comptabilité","CN=Jérôme Poirier,OU=Comptabilité,OU=Utilisateurs,DC=contoso,DC=fr","True","Jérôme","jeromep@contoso.fr","CN=Antoine Lefebvre,OU=Comptabilité,OU=Utilisateurs,DC=contoso,DC=fr","Jérôme Poirier","user","acb51c31-6b51-4d80-bdb5-f55f982cdaf6","01 99 00 68 48","jeromep","S-1-5-21-331390976-2650875657-2422772959-1845","Poirier","Poirier","Comptable","jerome.poirier@contoso.fr","Paris"
"Conseil en Stratégie","CN=Aurélie Baron,OU=Conseil en Stratégie,OU=Utilisateurs,DC=contoso,DC=fr","True","Aurélie","aurelieb@contoso.fr","CN=Hugo Baron,OU=Conseil en Stratégie,OU=Utilisateurs,DC=contoso,DC=fr","Aurélie Baron","user","c12c238f-5f1a-4e26-8786-536be9589214","03 53 01 58 46","aurelieb","S-1-5-21-331390976-2650875657-2422772959-1846","Baron","Baron","Consultant en stratégie","aurelie.baron@contoso.fr","Metz"
"Conseil en Stratégie","CN=Sébastien Dupont,OU=Conseil en Stratégie,OU=Utilisateurs,DC=contoso,DC=fr","True","Sébastien","sebastiend@contoso.fr","CN=Océane Hubert,OU=Conseil en Stratégie,OU=Utilisateurs,DC=contoso,DC=fr","Sébastien Dupont","user","94594a6a-d619-403b-a2c4-df1a6dd243af","04 65 71 34 49","sebastiend","S-1-5-21-331390976-2650875657-2422772959-1847","Dupont","Dupont","Consultant en stratégie","sebastien.dupont@contoso.fr","Lyon"
"Conseil en Stratégie","CN=Julien Boyer,OU=Conseil en Stratégie,OU=Utilisateurs,DC=contoso,DC=fr","True","Julien","julienb@contoso.fr","CN=Ludovic Hamon,OU=Conseil en Stratégie,OU=Utilisateurs,DC=contoso,DC=fr","Julien Boyer","user","a2455199-3552-440d-b834-2f92701b5713","01 99 00 45 95","julienb","S-1-5-21-331390976-2650875657-2422772959-1848","Boyer","Boyer","Consultant en stratégie","julien.boyer@contoso.fr","Paris"
"Conseil en Stratégie","CN=Fabien Cordier,OU=Conseil en Stratégie,OU=Utilisateurs,DC=contoso,DC=fr","True","Fabien","fabienc@contoso.fr","CN=Sandrine Pichon,OU=Conseil en Stratégie,OU=Utilisateurs,DC=contoso,DC=fr","Fabien Cordier","user","bc1a8902-3723-4595-82c5-abef33280605","03 53 01 48 86","fabienc","S-1-5-21-331390976-2650875657-2422772959-1849","Cordier","Cordier","Consultant en stratégie","fabien.cordier@contoso.fr","Metz"
"Conseil en Stratégie","CN=Baptiste Imbert,OU=Conseil en Stratégie,OU=Utilisateurs,DC=contoso,DC=fr","True","Baptiste","baptistei@contoso.fr","CN=Océane Hubert,OU=Conseil en Stratégie,OU=Utilisateurs,DC=contoso,DC=fr","Baptiste Imbert","user","85c26295-3d53-4693-b74a-0a892268728c","01 99 00 45 57","baptistei","S-1-5-21-331390976-2650875657-2422772959-1850","Imbert","Imbert","Consultant en stratégie","baptiste.imbert@contoso.fr","Paris"
"Conseil en Stratégie","CN=Pauline Mercier,OU=Conseil en Stratégie,OU=Utilisateurs,DC=contoso,DC=fr","True","Pauline","paulinem@contoso.fr","CN=Hugo Baron,OU=Conseil en Stratégie,OU=Utilisateurs,DC=contoso,DC=fr","Pauline Mercier","user","9dcc4bd9-6fe3-4228-b3c0-32ee0aa83d59","03 53 01 82 23","paulinem","S-1-5-21-331390976-2650875657-2422772959-1851","Mercier","Mercier","Consultant en stratégie","pauline.mercier@contoso.fr","Metz"
"Conseil en Stratégie","CN=Virginie Rey,OU=Conseil en Stratégie,OU=Utilisateurs,DC=contoso,DC=fr","True","Virginie","virginier@contoso.fr","CN=Océane Hubert,OU=Conseil en Stratégie,OU=Utilisateurs,DC=contoso,DC=fr","Virginie Rey","user","2cfec94e-ced9-41c2-bc54-c29f4bd2f3a8","01 99 00 66 21","virginier","S-1-5-21-331390976-2650875657-2422772959-1852","Rey","Rey","Consultant en stratégie","virginie.rey@contoso.fr","Paris"
"Conseil en Stratégie","CN=Manon Turpin,OU=Conseil en Stratégie,OU=Utilisateurs,DC=contoso,DC=fr","True","Manon","manont@contoso.fr","CN=Ludovic Hamon,OU=Conseil en Stratégie,OU=Utilisateurs,DC=contoso,DC=fr","Manon Turpin","user","0f6e0712-63ea-47a3-b209-12b1bda75347","04 65 71 42 95","manont","S-1-5-21-331390976-2650875657-2422772959-1853","Turpin","Turpin","Consultant en stratégie","manon.turpin@contoso.fr","Lyon"
"Conseil en Stratégie","CN=Morgane Caron,OU=Conseil en Stratégie,OU=Utilisateurs,DC=contoso,DC=fr","True","Morgane","morganec@contoso.fr","CN=Sandrine Pichon,OU=Conseil en Stratégie,OU=Utilisateurs,DC=contoso,DC=fr","Morgane Caron","user","4f22439d-d769-46ec-a4cb-6fd4a05fbf23","01 99 00 83 98","morganec","S-1-5-21-331390976-2650875657-2422772959-1854","Caron","Caron","Consultant en stratégie","morgane.caron@contoso.fr","Paris"
"Conseil en Stratégie","CN=Aurélie Duval,OU=Conseil en Stratégie,OU=Utilisateurs,DC=contoso,DC=fr","True","Aurélie","aurelied@contoso.fr","CN=Élodie Caron,OU=Conseil en Stratégie,OU=Utilisateurs,DC=contoso,DC=fr","Aurélie Duval","user","11afd577-064c-41a9-8a91-6635b8807294","01 99 00 52 95","aurelied","S-1-5-21-331390976-2650875657-2422772959-1855","Duval","Duval","Consultant en stratégie","aurelie.duval@contoso.fr","Paris"
"Conseil Gestion de Contenu","CN=Manon Bertin,OU=Conseil Gestion de Contenu,OU=Utilisateurs,DC=contoso,DC=fr","True","Manon","manonb@contoso.fr","CN=Grégory Chevalier,OU=Conseil Gestion de Contenu,OU=Utilisateurs,DC=contoso,DC=fr","Manon Bertin","user","e9ad21c4-767b-44f7-be8a-e256e9e77002","04 65 71 39 84","manonb","S-1-5-21-331390976-2650875657-2422772959-1856","Bertin","Bertin","Consultant gestion de contenu","manon.bertin@contoso.fr","Lyon"
"Conseil en Stratégie","CN=Vincent Weber,OU=Conseil en Stratégie,OU=Utilisateurs,DC=contoso,DC=fr","True","Vincent","vincentw@contoso.fr","CN=Ludovic Hamon,OU=Conseil en Stratégie,OU=Utilisateurs,DC=contoso,DC=fr","Vincent Weber","user","6336e033-261a-4b4c-b800-3f407008ec7e","03 53 01 88 79","vincentw","S-1-5-21-331390976-2650875657-2422772959-1857","Weber","Weber","Consultant en stratégie","vincent.weber@contoso.fr","Metz"
"Gestion de Projet","CN=Quentin Rousseau,OU=Gestion de Projet,OU=Utilisateurs,DC=contoso,DC=fr","True","Quentin","quentinr@contoso.fr","CN=Pierre Lemoine,OU=Gestion de Projet,OU=Utilisateurs,DC=contoso,DC=fr","Quentin Rousseau","user","c38e3f7b-c5b1-4ba0-b7b8-4bcf317e7db8","04 65 71 22 46","quentinr","S-1-5-21-331390976-2650875657-2422772959-1858","Rousseau","Rousseau","Chef de projet senior","quentin.rousseau@contoso.fr","Lyon"
"Direction Commerciale","CN=Benoît Kieffer,OU=Direction Commerciale,OU=Utilisateurs,DC=contoso,DC=fr","True","Benoît","benoitk@contoso.fr","CN=Baptiste Guérin,OU=Direction Commerciale,OU=Utilisateurs,DC=contoso,DC=fr","Benoît Kieffer","user","27f11da9-3adb-4e08-8cf0-b7f8be26f2b9","","benoitk","S-1-5-21-331390976-2650875657-2422772959-1859","Kieffer","Kieffer","Commercial","benoit.kieffer@contoso.fr","Metz"
"Gestion de Projet","CN=Margaux Régnier,OU=Gestion de Projet,OU=Utilisateurs,DC=contoso,DC=fr","True","Margaux","margauxr@contoso.fr","CN=Nathalie Barbier,OU=Gestion de Projet,OU=Utilisateurs,DC=contoso,DC=fr","Margaux Régnier","user","e270560d-a319-44cb-8272-9f233fee39c0","04 65 71 26 99","margauxr","S-1-5-21-331390976-2650875657-2422772959-1860","Régnier","Régnier","Chef de projet","margaux.regnier@contoso.fr","Lyon"
"Direction Commerciale","CN=Nicolas Renaud,OU=Direction Commerciale,OU=Utilisateurs,DC=contoso,DC=fr","True","Nicolas","nicolasr@contoso.fr","CN=Guillaume Fontaine,OU=Pilotage des Affaires,OU=Utilisateurs,DC=contoso,DC=fr","Nicolas Renaud","user","1a0d0c4c-35b4-4956-a10a-d11ffbc519d5","","nicolasr","S-1-5-21-331390976-2650875657-2422772959-1861","Renaud","Renaud","Commercial","nicolas.renaud@contoso.fr","Lyon"
"Direction Commerciale","CN=Étienne Dumas,OU=Direction Commerciale,OU=Utilisateurs,DC=contoso,DC=fr","True","Étienne","etienned@contoso.fr","CN=Bastien Rey,OU=Pilotage des Affaires,OU=Utilisateurs,DC=contoso,DC=fr","Étienne Dumas","user","daf00fa4-53f0-4732-a404-1e7a164f77a1","01 99 00 73 95","etienned","S-1-5-21-331390976-2650875657-2422772959-1862","Dumas","Dumas","Commercial","etienne.dumas@contoso.fr","Paris"
"Gestion de Projet","CN=Nicolas Hervé,OU=Gestion de Projet,OU=Utilisateurs,DC=contoso,DC=fr","True","Nicolas","nicolash@contoso.fr","CN=Pierre Lemoine,OU=Gestion de Projet,OU=Utilisateurs,DC=contoso,DC=fr","Nicolas Hervé","user","1755cd16-eaa9-4d8d-9e0b-d6bb87c40479","03 53 01 64 92","nicolash","S-1-5-21-331390976-2650875657-2422772959-1863","Hervé","Hervé","Chef de projet","nicolas.herve@contoso.fr","Metz"
"Direction Commerciale","CN=Sophie Marchand,OU=Direction Commerciale,OU=Utilisateurs,DC=contoso,DC=fr","True","Sophie","sophiem@contoso.fr","CN=Quentin Joubert,OU=Pilotage des Affaires,OU=Utilisateurs,DC=contoso,DC=fr","Sophie Marchand","user","d2c272c5-1aff-46a0-a364-c101e2e22678","04 65 71 92 64","sophiem","S-1-5-21-331390976-2650875657-2422772959-1864","Marchand","Marchand","Commercial","sophie.marchand@contoso.fr","Lyon"
"Gestion de Projet","CN=Isabelle Vidal,OU=Gestion de Projet,OU=Utilisateurs,DC=contoso,DC=fr","True","Isabelle","isabellev@contoso.fr","CN=Étienne Girard,OU=Gestion de Projet,OU=Utilisateurs,DC=contoso,DC=fr","Isabelle Vidal","user","77f897be-83f6-4ad6-aec6-0b051223bb82","04 65 71 92 67","isabellev","S-1-5-21-331390976-2650875657-2422772959-1865","Vidal","Vidal","Chef de projet","isabelle.vidal@contoso.fr","Lyon"
"Gestion de Projet","CN=Audrey Dumas,OU=Gestion de Projet,OU=Utilisateurs,DC=contoso,DC=fr","True","Audrey","audreyd@contoso.fr","CN=Anaïs Weber,OU=Gestion de Projet,OU=Utilisateurs,DC=contoso,DC=fr","Audrey Dumas","user","0f42a43f-7ae4-4e1d-aca2-8ed2f48da070","01 99 00 34 48","audreyd","S-1-5-21-331390976-2650875657-2422772959-1866","Dumas","Dumas","Chef de projet","audrey.dumas@contoso.fr","Paris"
"Gestion de Projet","CN=Nicolas Colin,OU=Gestion de Projet,OU=Utilisateurs,DC=contoso,DC=fr","True","Nicolas","nicolasc@contoso.fr","CN=Anaïs Weber,OU=Gestion de Projet,OU=Utilisateurs,DC=contoso,DC=fr","Nicolas Colin","user","17cc34d0-fda3-4061-a35b-989d01b1975e","01 99 00 47 38","nicolasc","S-1-5-21-331390976-2650875657-2422772959-1867","Colin","Colin","Chef de projet","nicolas.colin@contoso.fr","Paris"
"Gestion de Projet","CN=Alexandre Sauvage,OU=Gestion de Projet,OU=Utilisateurs,DC=contoso,DC=fr","True","Alexandre","alexandres@contoso.fr","CN=Anaïs Weber,OU=Gestion de Projet,OU=Utilisateurs,DC=contoso,DC=fr","Alexandre Sauvage","user","52d68cec-3ea1-4efa-9502-a9f7855da055","04 65 71 98 48","alexandres","S-1-5-21-331390976-2650875657-2422772959-1868","Sauvage","Sauvage","Chef de projet senior","alexandre.sauvage@contoso.fr","Lyon"
"Gestion de Projet","CN=Mathieu Ollivier,OU=Gestion de Projet,OU=Utilisateurs,DC=contoso,DC=fr","True","Mathieu","mathieuo@contoso.fr","CN=Florian Ozanne,OU=Gestion de Projet,OU=Utilisateurs,DC=contoso,DC=fr","Mathieu Ollivier","user","134976da-0e4a-4b54-8296-88ec813ee99c","01 99 00 24 74","mathieuo","S-1-5-21-331390976-2650875657-2422772959-1869","Ollivier","Ollivier","Chef de projet","mathieu.ollivier@contoso.fr","Paris"
"Direction Commerciale","CN=Isabelle Loiseau,OU=Direction Commerciale,OU=Utilisateurs,DC=contoso,DC=fr","True","Isabelle","isabellel@contoso.fr","CN=Guillaume Fontaine,OU=Pilotage des Affaires,OU=Utilisateurs,DC=contoso,DC=fr","Isabelle Loiseau","user","36ea36ef-6c7a-4a1f-b146-2f006196f4dd","01 99 00 38 23","isabellel","S-1-5-21-331390976-2650875657-2422772959-1870","Loiseau","Loiseau","Commercial","isabelle.loiseau@contoso.fr","Paris"
"Gestion de Projet","CN=Camille Fontaine,OU=Gestion de Projet,OU=Utilisateurs,DC=contoso,DC=fr","True","Camille","camillef@contoso.fr","CN=Florian Ozanne,OU=Gestion de Projet,OU=Utilisateurs,DC=contoso,DC=fr","Camille Fontaine","user","314ee328-bd7f-442e-b1d9-44b29f93f96a","01 99 00 83 82","camillef","S-1-5-21-331390976-2650875657-2422772959-1871","Fontaine","Fontaine","Chef de projet","camille.fontaine@contoso.fr","Paris"
"Gestion de Projet","CN=Hugo Cordier,OU=Gestion de Projet,OU=Utilisateurs,DC=contoso,DC=fr","True","Hugo","hugoc@contoso.fr","CN=Nathalie Barbier,OU=Gestion de Projet,OU=Utilisateurs,DC=contoso,DC=fr","Hugo Cordier","user","2727030f-81d6-4816-8bea-ee84608204bc","04 65 71 16 94","hugoc","S-1-5-21-331390976-2650875657-2422772959-1872","Cordier","Cordier","Chef de projet","hugo.cordier@contoso.fr","Lyon"
